Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
10,IV.6.3 (E),Blatt,"Skizzenblatt (Befestigungsanlage, Rom)",Skizzen und Notizen - Rom,Papier ,,340 x 430 mm,,,,,,x,,,,,,,,,,,,materiell,Artefakt,darstellend,1881 - 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IV.6.5,Skizzenbuch,"Skizzenbuch (1869, Rom)",Skizzen und Notizen - Rom,108 Blätter Papier - Einband,gebunden,130 x 202 mm ,,,x,,,x,,,,,,,,,,Germann/Ploder 2009 (Kat.Nr. 15),,materiell,Artefakte,darstellend,1869 - 1875 - 1878,Rom - Pompei - Foglino - Città di Castello - Arezzo - Bologna - Pavia - Torino - Susa - Carpi - Reggio - Milano - Berlin,Ponte Salaro (Rom) - Sant'Adriano (Rom) - Villa Madama - Bahnhof Arezzo (Baukonstruktion) - diverse Archiekturen,materiell,natürliche Objekte,darstellend,,Rom - San Gennaro - Palombara - Tivoli - Monte Circeo - Genazzano - Nemi - Lago di Albano - Salerno - Monte Cassino - Narni - Lago Trasimeno - Amalfi - San Rossore - Montecatini - Serravalle - Cap Gris-Nez -,Panorama,materiell,natürliches Objekt,wiedergebend,,Sorrento,Fisch,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,materiell,Artefakte,wiedergebend,,Pompei,Skulptur,materiell,Artefakte,wiedergebend,,Pisa,Abbild: Bonozzo Gozzoli,materiell,Personen,verweisend,,NULL,Antonio Labacco - M. Besenval - Carl Rauch - Donato Bramante,materiell,Archivquelle,wiedergebend,,Fabbrica di San Pietro,MS. H. 11. 22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IV.6.5 (E),Blatt,Skizzenblatt (Abschrift),Abschrift,Papier,,134 x 214 mm,,,x,,x,x,,,,,,,,,,,,materiell,Archivquelle,wiedergebend,1869,NULL,NULL,materiell,Person,wiedergebend,,NULL,Bramante,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IV.6.5 (E),Blatt,Skizzenblatt (Liste),Liste (Objekte),Papier,,181 x 225 mm,,Ergänzung zu letzem Blatt im Skizzenbuch (IV.6.5),,,,x,,,,,,,,,,,,materiell,Artefakte,verweisend,NULL,"Assisi - Angeli - Cortina - Città di Castello - Arezzo - Pisa - Bologna - Collalto - Pavia - Certosa - Torino - Susa - Basel - Paris - Rom - Firenze, Rimini - Cesena - Faenza - Ravenna - Modena - Pienza - Sorrento - Nemi - Castel Gandolfo - Genzano di Roma - Albano Laziale - Cluny - Lago Trasimeno - Casalpusterlengo - Capri - Campanella - Porto - Amafli - Vietri sul Mare - Salerno - Ischia - Monte Cassino - Portici - San Germano - Narni - Foligno - Duino",Liste von Orten,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IV.2.3.b,Skizzenbuch,"Skizzenbuch (1879 Carpi, Reggio, Milano, Berlin)",Skizzen und Notizen - Carpi - Reggio - Milano - Berlin,28 Blätter Papier - Einband,gebunden,205 x 150 mm,,Blätter herausgeschnitten,x,,,x,,,,,,,,,,,,materiell,Artefakte,darstellend,1879,Carpi - Reggio - Torino - Gaisberg[?],diverse Architekturen,materiell,natürliche Objekte,darstellend,,Monte Rosa,Panorama,immateriell,Reise,wiedergebend,,Carpi - Reggio - Torino - Gaisberg[?] - Monte Rosa,Reise nach Carpi - Reggio - Milano - Berlin - etc.,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VII.C.3.c,Skizzenbuch,"Skizzenbuch (1862-1897, Berlin, Exkursion mit Adler)",Skizzen und Notizen - Berlin,32 Blätter Papier - Einband,gebunden,250 x 194 mm,,Blätter herausgeschnitten,,,,x,,,,,,,,,,Germann/Ploder 2009 (Kat.Nr. 13),,materiell ,Artefakte,darstellend,1862,Berlin - Hochfelden - Speier - Limburg (an der Haart) - Eusserthal - Trifels - Weißenburg - Potsdam - Hagenau - Strassburg - Eschau (Unterelsass) - Neuweiler (Neuwiller-lès-Saverne),Adelphikirche (Neuweiler) - Abtei Sankt Sophie (Eschau) - Münster (Straßburg) - Basilika (Hagenau) - Notre-Dame (Weißenburg - Elsass) - Burg Trifels (Trifels Berg) - Schloss Charlottenhof (Potsdam) - diverse Architekturen,materiell,natürliche Objekte,darstellend,,Potsdam (Bahnhof),Panorama,materiell,Personen,darstellend,,Speier > Limburg (an der Haart),Friedrich Adler - Max Alioth,immateriell,Reise,wiedergebend,,Potsdam (Bahnhof) - Speier - Limburg (an der Haart) - Berlin - Hochfelden - Speier - Limburg (an der Haart) - Eusserthal - Trifels - Weißenburg - Potsdam - Hagenau - Strassburg - Eschau (Unterelsass) - Neuweiler (Neuwiller-lès-Saverne),Reise von Berlin,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VII.C.3.c (E),Blatt,Skizzenblatt (Lehnin. 14. Mai Mittag 1862),Vorderseite: Skizzen und Notizen - Rückseite: Skizzen und Notizen - Lehnin,Papier ,,171 x 249 mm,,Vorderseite: Anmerkung: 1183-1272,,,,x,,,,,,,,,,,,materiell,Artefakt,darstellend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin) (Detail - Apsis),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VII.C.3.c (E),Fotografie,Fotografie ,Vorderseite: Kloster Lehnin - Vorzustand (Restaurierung 1871-1877) - Rückseite: Beschriftung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,Nummerierung auf Rückseite: 1758,,,,x,,,,,,,,,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,VII.C.3.c (E),Fotografie,Fotografie ,Vorderseite: Kloster Lehnin - Vorzustand (Restaurierung 1871-1877) - Rückseite: Beschriftung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,Nummerierung auf Rückseite: 1761,,,,x,,,,,,,,,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VII.C.3.c (E),Fotografie,Fotografie ,Vorderseite: Kloster Lehnin - Vorzustand (Restaurierung 1871-1877) - Rückseite: Beschriftung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,Nummerierung auf Rückseite: 1764,,,,x,,,,,,,,,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VII.C.3.c (E),Fotografie,Fotografie ,Vorderseite: Kloster Lehnin - Vorzustand (Restaurierung 1871-1877) - Rückseite: Beschriftung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,Nummerierung auf Rückseite: 1766,,,,x,,,,,,,,,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VII.C.3.c (E),Fotografie,Fotografie ,Vorderseite: Kloster Lehnin - Vorzustand (Restaurierung 1871-1877) - Rückseite: Beschriftung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,Nummerierung auf Rückseite: 1767,,,,x,,,,,,,,,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,V.4.1,Skizzenbuch,"Skizzenbuch (1866, Florenz)",Skizzen und Notizen - Florenz,78 Blätter Papier - Einband,gebunden,121 x 191 mm,,,,,,x,,,,,,,,,x,Germann/Ploder 2009 (Kat.Nr. 14),,materiell,Artefakte,darstellend,1866,Florenz - Stanto Stefano in Pane (Florenz) - Palagetto (San Miniato) - Badia a Ripoli,Villa Benari - Il Poderone (Porta San Nicolo Firenze) - Villa Dani - Palazzo Gondi - Villa Palagetto - Villa della Campana - diverse Architekturen,materiell,Person,darstellend,,NULL,Philippe Brunelleschi ,materiell,Person,verweisend,,Palagetto,Carocci,materiell,natürliches Objekt,darstellend ,,NULL,Delfin,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IV.6.1,Skizzenbuch,Skizzenbuch (1865),Skizzen und Notizen - Toskana - Rom,71 Blätter Papier - Einband,gebunden - Skizzen mit Bleistift und tweilweise koloriert,100 x 146 mm,,Blatt herausgerissen (schon vor Seitennummerierung) - Klebezettel Vertrieb: Maiso Alph.Giroux Paris,,,,x,,,,,,,,,x,,,materiell,Artefakte,darstellend,1865,Lelame - Bazzano - Montecatini - Pisa - Rocca della Verucca (Moonti Pisani)[?] - Florenz - Grosseto - Rom - ,"Dom Pisa - Certosa di Firenze - Dom (San Lorenzo) Grosetto[?] - Villa Borghese (Rom) - Terme di Caracalla (Roma) - Santa Sabina (Rom) - Grabmahl der Cecilia Metella (Rom) - St. Peter (Rom) - San Carlo ai Catinari (Rom) - Casa di Michelangelo (Rom) [=1874 wegen der Arbeiten am Capitol zerstört, 1941 Fassade am Gianicolo (Rom) wiedererrichtet] - Villa Farnesina (Rom) - San Pietro in Montorio (Rom) - Palazzo (Via del Boschetto in Rom [antico romano]) -",materiell,Person,verweisend,,St. Peter (Rom),Carlo Maderna - Michaelangelo (Buonarotti) - Bernardo di Lorenzo,materiell,Literatur,verweisend,,Serloi III. XXXVI (46),von Serlio,materiell,natürliches Objekt,darstellend ,,Grabmahl der Cecilia Metella (Rom),Hahn und Henne,materiell,Artefakte,darstellend,,Piazza Montanara (Rom),Mode traditionell für Frauen,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IV.6.6,Skizzenbuch,Skizzenbuch (1875),Skizzen und Notizen - Bologna - Florenz,44 Blätter Papier - Einband,gebunden,115 x 163 mm,,,,,,x,,,,,,,,,x,,,materiell ,Artefakte,darstellend,1875,Flroenz - Bologna - Gubbio - Madonna del Monte (Cesena) - Cesena - Faenza - Rimini - Ravenna,Palazzo Sanuti Bevilacqua (Via D'Azeglio - Bologna) - Palazzo Pazzi-Quaratesi (Florenz) - Santo Spirito (Florenz) [Sakristei] - Palazzo Ducale (Gubbio) - Basilica di Madonna del Monte (Cesena) - Rocca Malatestiana (Cesena) - Dom Cesena - Santo Stefano (Faenza) - San Bernardo (Faenza) - Basilica Sant'Apollinare in Classe (Ravenna) -,immateriell,Forschungsthema,verweisend,,NULL,Bramante Malerei,materiell,Person,wiedergebend,,Palazzo Pazzi-Quaratesi (Florenz),Bramante,materiell,Personen,verweisend,,Gubbio - Faenza,Luigi Bonfatti [Buonfatti] - Pietro Conti - Giovanni Bellini,materiell,Literatur,verweisend,,NULL,Reposati - Rinaldo: La Zecca di Gubbio e delle geste de' conti e duchi d'Urbino. Bologna - 1772. 2 volumi.,materiell,natürliches Objekt,darstellend,,Madonna del Monte (Cesena),Panorama,materiell,Artefakt,verweisend,,NULL,Leonardo Giebel,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IV.6.2,Skizzenbuch,"Skizzenbuch (1864, Paris)",Skizzen und Notizen - Paris,70 Blätter Papier - Einband,gebunden,133 x 217 mm,,Klebezettel Vertrieb: Dupont - Rue St. Honoré - 209 (Papeterie & coulers fines),,,,x,,,,,,,,,,,,materiell,Artefakte,behandelnd,1864 - 1867,Paris,Saint-Paul-Saint-Louis (Paris) - Saint-Denis-de-la-Chartre (Paris) - Notre-Dame Paris (Paris) - Saint-Eustache (Paris),materiell,Artefakte,darstellend,,Paris,Hotel du Pourtalès (Paris) - ,immateriell,Technologie,darstellend,,Notre Dames Champs 38 (Paris) ['Maison Leon Duvoir'] u.a.,Bautechnik (Beleuchtung und Beheizung ['éclairage et chauffage']),materiell,natürliche Objekte,beschreibend,,NULL,Planzen (lat. Namen),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IV.6.2 (E),Rechnung,Rechnung (10.06.1867),Rechnung ,Papier,,110 x 180 mm,,,,,,x,,,,,,,,,,,,materiell,Organisation,repräsentierend,1867,Paris,Esposicion Universal: Café Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,IV.6.4,Skizzenbuch,Skizzenbuch (G. Gruyer),Skizzen und Notizen - Liste (Nummern - Architekturen - Architekten - zeitgenössisch) - England - Italien - Dänemark - Autriche - Norwegen - Canada - Ville de Paris - Belgique,88 Blätter Papier - Einband,gebunden,137 x 210 mm,,Stempel Vertrieb: J. Bazire 43Brd. Malesherbes,,,,x,,,,,,,,,,,,materiell,Artefakte,verweisend,1870 - 1872 - 1873 - 1876 - 1887 - 1904,Crew (Cheshire) - Liverpool - Allahabad (India),Crew Hall (Cheshire) - The New Liverpool Exchange (Liverpool) - All Saints Cathedral Allahabad [India]) - Südbahnhof (Wien) - Volkstheater (Wien) - Sternwarte (Wien) - Votivkirche (Wien) - Parlament (Ottawa) -,materiell,Personen,verweisend,,Cheshire - Paris - Børsen - Wien - Fredrikstad,Edward M.[iddleton] Barry RA - Thomas Henry Wyatt - William Burges - Giovan Battista Filippo Basile - Guglielmo Calderini - Viollet-Le-Duc - Luigi Boffi - Hans Christian Amberg - Friedrich Schmidt - Willhelm Flattich - Friedrich Schachner - Alois Maria Wurm-Arnkreuz - Franz Neumann jun. - Hermann Helmer - Ferdinand Fellner - Heinrich Ferstel - Carl Hasenauer - Julius Nicolai Jacobsen - ,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,VII.K.6.d,Blatt,Notizblatt (Troyes) [Aufschrift von Hermann Egger],Notizen zu Saint Nicolas (Troyes),Papier,,113 x 193 mm,,Abrisskante auf linker Seite,,x,,,,,,,,,,,,,,materiell,Artefakt,verweisend,NULL,Troyes,Saint Nicolas (Troyes),materiell,Literatur,verweisend,,Troyes - Lyon,Revue archéologique (Journal - magazine - 1855),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,VII.K.6.d,Fotografie,"Fotografie - Thesaurus Material (Geymüller-Notizen) [Aufschrift Egger], Troyes",Fotografie - Plan - Entwurf - Konstruktion - Altar,1 Blatt Fotopapier,Belichtung,129 x 177 mm,,,,x,,,,,,,,,,,,,,materiell,Archivquelle,abbildend,NULL,NULL,Fotografie einer Archivquelle (Stich / Druck),materiell,Archivquelle,abbildend,,NULL,Altar - Entwurf - Saint Nicolas (Troyes),immateriell,Forschungsthema,behandelnd,,NULL,Bild- und Textmaterial für Thesaurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,VII.K.6.d,Fotografie,"Fotografie - Thesaurus Material (Geymüller-Notizen) [Aufschrift Egger], Troyes",Fotografie - Plan - Entwurf - Konstruktion - Altar,1 Blatt Fotopapier,Belichtung,125 x 180 mm,,,,x,,,,,,,,,,,,,,materiell,Archivquelle,abbildend,NULL,NULL,Fotografie einer Archivquelle (Stich / Druck),materiell,Archivquelle,abbildend,,NULL,Altar - Entwurf - Saint Nicolas (Troyes),immateriell,Forschungsthema,behandelnd,,NULL,Bild- und Textmaterial für Thesaurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,VII.K.6.d,Fotografie,"Fotografie - Thesaurus Material (Geymüller-Notizen) [Aufschrift Egger], Troyes",Fotografie - Plan - Entwurf - Konstruktion - Altar,1 Blatt Fotopapier,Belichtung (hell),130 x 177 mm,,,,x,,,,,,,,,,,,,,materiell,Archivquelle,abbildend,NULL,NULL,Fotografie einer Archivquelle (Stich / Druck),materiell,Archivquelle,abbildend,,NULL,Altar - Entwurf - Saint Nicolas (Troyes),immateriell,Forschungsthema,behandelnd,,NULL,Bild- und Textmaterial für Thesaurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
