INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
I.1.5.d;Sammlung loser Blätter;"Cancelleria; Corneille";S Rf;;;;XXX;6 Notizen;;"Manuskrip Rf; vgl. mit Kapitel: Die freie Stilströmung; Die strenge Stilströmung ";6;;;;;
I.1.6.a;Sammlung lose Blätter;"Details; Details I. Allgemeines über das Detail";S (T);;;1898;;1 Brief (mit kleinen Skizzen 1887), 11 Notizen und Skizzen (Profilierung), 10 Notizen und Skizzen (Ergänzung der Details durch Malerei), 16 Notizen und Skizzen (Profilierung), 3 Notizen (Allgemeines), Umschlag (Skulpierte Glieder) leer;;;40;;;;;
I.1.6.b;Sammlung lose Blätter;"Details; Details II.";S (T);;;;;18 Notizen und Skizzen (Details Entiwcklung Laubwerk), 5 Notizen (Die menschliche Figur als Element der Dekorationen), 1 Notiz (Flechtwerk Umschlag Rankenwerk);;;;;;;;
I.1.6.c;Sammlung lose Blätter;"Details; Toscana Mamorarbeiten";T;;;;;7 Notizen;;;7;;;;;
I.1.6.d;Sammlung lose Blätter;"Details; Backstein und Terracotta Materialien";T;;;;;7 Notizen;;;12;;;;;
I.1.6.e;Sammlung lose Blätter;"Details; Technisches Praxis Geschäftliches";T;;;;;"1) 10 Notizen und Skizzen (Technisches); 2) 17 Notizen (Baumaterila); 3) Maßstäbe; 4) 6 Notizen (Geldwerth); 5) 44 Notizen und Skizzen (Struktives und Technisches), 1 Notiz (Technik des Einzelnen. Meissel); 1 Notiz (Struktives)";;Struktives: Kopie Kuppelkonstruktion;83;;;;;
I.1.6.f;Sammlung lose Blätter;"Details; Gesetzte der Komposition";T (S);;;;;2 Notizen und Skizzen (?);;;2;;;;;
I.1.6.g;Sammlung lose Blätter;"Details; Verhältnisse im Allgemeinen";T (S);;;;;"1) 4 Notizen und Skizzen; 2) 6 Notizen und Skizzen (Verhältnisse im Allgemeinen)";;;10;;;;;
I.1.7.a;leer;"o. Angabe; freie Säulenordnung";;;;;;;;;0;;;;;
I.1.7.b;Sammlung lose Blätter;Candelaberformen;T (S);;;;;3 Notizen und Skizzen;;;3;;;;;
I.1.7.c;Sammlung lose Blätter;Piedestale und Basen;T (S);;;;;3 Notizen;;;3;;;;;
I.1.7.d;Sammlung lose Blätter;Säulen und Pilster;T (S);;;;;"60 Notizen und Skizzen (Gebälk und Gesimse; Säulen und Pilaster; Capitälle)";;;60;;;;;
I.1.7.e;Sammlung lose Blätter;Florenz. Paläste und Häuser I. S.;T;;;1887 (?), 1888, 1898 (?);;"1) 3 Skizzen (Pal Cuccoli); 2) 4 Notizen und Skizzen (Pal Antinori); 3) 3 Notizen und Skizzen (Nonfinito, Strozzi); 4) 3 Notizen und Skizzen (Linkes Ufer); 5) 36 Notizen und Skizzen, 2 Drucke (Häuse und kleine Paläste); 6) 1 Brief (Stegmann. Von Florenz aus erledigt); 1 Brief (Mirabaud-Paccaro; Puerari; Rue Teitbout 29 Paris); 2 Andrucke auf Milchpapier 1888 vom Verlag Eduard Schulte Kunsthandlung München Sopienstraße 6)";;;51;;;;;
I.1.8;Son;HvG (Adresse in Rom);S;;;1868;;"1 Heft: 188 Seiten mit Notizen und Skizzen (Antike, Renaissance, Barock und nach Bildern); (Zentralbau in Viterbo(?), Velletri), Postkarte, Zeittabelle";;AUSSTELLUNG entnommen;?;;;;;
I.1.9.a;Son (loses Kuvert);"Montepulciano II; Peruzzi, Vignola. Adressen";T;;;;;1) 4 Visitenkarten (Besitzer von Palästen: Carruci, Conducci, Valimgli, Ing. Ilari, u.a.);;;4;;;;;
I.1.9.b;Sammlung lose Blätter;"Montepulciano II; Peruzzi, Vignola. Zu sehen oder zu kontrollieren";T;;;;;4 Notizen;;;7;;;;;
I.1.9.c;Sammlung lose Blätter;"Montepulciano II; Peruzzi, Vignola. Umgebung";T;;;;;6 Notizen und Skizzen (Montepulciano St. Agostino 1887);;;6;;;;;
I.1.9.d;Sammlung lose Blätter;"Montepulciano II; Peruzzi, Vignola. Dom";T;;;1897;;2 Skizzen (Montepulciano Dom 1897, Campagnile);;;2;;;;;
I.1.9.e;Sammlung lose Blätter;"Montepulciano II; Peruzzi, Vignola. S. Agostino";T;;;1887;;11 Notzien und Skizzen;;;13;;;;;
I.1.10;Sammlung lose Blätter;Marciano;T;;;;;6 Notizen und Skizzen: (in 1 Umschlag);;;6;;;;;
I.1.11.a;Sammlung lose Blätter;"Pisa 1905; 1905 8.Giugno. Giovedi. Battisterio";T;;;1905;;17 Notizen, 7 Originalfotos (9x9 vergilbt Pisa Battisterio), 1 Postkarte (gesamt Kanzel);;;26;;;;;
I.1.11.b;Sammlung lose Blätter;"Pisa 1905; Pisa Camposanto 8.VI.1905";T;;;1905;;2 Postkarten, 2 Originalfotografien (9x9), 7 Notizen;;;11;;;;;
I.1.11.c;Sammlung lose Blätter;"Pisa 1905; Pisa Campagnile 8./9. VI 1905";T;;;1905;;3 Originalfotos (9x9), 3 Notizen;;;6;;;;;
I.1.11.d;Sammlung lose Blätter;"Pisa 1905; Pisa 1905 Duomo";T;;;1905;;4 Originalfotografien (9x9), 2 Postkarten, 17 Notizen;;;23;;;;;
I.1.11.e;Sammlung lose Blätter;"Pisa 1905; Pisa 1905 Venerdi; S. Paolo";T;;;1905;;3 Notizen und Skizzen;;;3;;;;;
I.1.11.f;Sammlung lose Blätter;"Pisa 1905; Pisa, Verschiedenes 1905";T;;;1905;XXX;6 Postkarten (Pisa), 5 Notizen und Skizzen;;;11;;;;;
I.1.12;Fotografien;Palais facades 4;T;;;;XXX;4 Fotos und Negative (Zeichnungen aus Skizzenbuch?);;;8;;;;;
I.1.13;Sammlung lose Blätter;Für Toscana;T;;;1898;;7 Notizen und Skizzen (S. Nicola, Alinari);;Titel: Für Toskanawerk eventuelle Illustrationen, Fotogragfien und Naturaufnahmen;7;;;;;
I.1.14;Sammlung lose Blätter;lavori per Alinari, ordinati;T;;;1898;;"29 Notizen und Skizzen, 4 Fotos (Reproduktionen 12x9; Peruzzi, San Gallo, Donatello, Pogio Reale, Lorenzo da Siena, Uffizi)";;;33;;;;;
I.1.15;Sammlung lose Blätter;Event. Illustrati, Uffizi;T;;;1887;;16 Notizen und Skizzen;;;22;;;;;
1.16.a;Sammlung lose Blätter;"Volterra; Valerio";T;;;;;9 Notizen und Skizzen (kleinformatig);;;9;;;;;
I.1.16.b;Sammlung lose Blätter;"Volterra; Umgebung";T;;;;;71 Notizen und Skizzen (Landschaftsaufnahmen);;;71;;;;;
I.1.16.c;Sammlung lose Blätter;"Volterra; Volterra IV 88";T;;;1888;;6 Notizen und Skizzen;;;10;;;;;
I.1.16.d;Sammlung lose Blätter;"Volterra; S. Francesco";T;;;;;5 Notizen und Skizzen;;;5;;;;;
I.1.16.e;Sammlung lose Blätter;"Volterra; Pal Benedei (Benedetto Venuci)";T;;;;;1 Notiz;;;1;;;;;
I.1.16.f;Sammlung lose Blätter;"Volterra; S. Francesco";T;;;;;1 Notiz;;;1;;;;;
I.1.16.g;Sammlung lose Blätter;"Volterra; Pal Maffei";T;;;;;3 Notizen und Skizzen;;;3;;;;;
I.1.16.h;Sammlung lose Blätter;"Volterra; Volterra";T;;;;;1 Notiz und Skizze, 1 Foto (etruskischer Sarkophag);;;2;;;;;
I.1.16.i;Sammlung lose Blätter;"Volterra; Volterra allgemein";T;;;1898;;"19 Notizen und Skizzen (S. Giusto); davon Skizze auf Milchpapier (Prof. Castelucci)";;;19;;;;;
I.1.16.j;Sammlung lose Blätter;"Volterra; Cattedrale";T;;;;;4 Notizen und Skizzen;;;4;;;;;
I.1.17.a;Sammlung lose Blätter;"Pisa; Pisa Trovaretti";T;;;1865;;6 Notizen und Skizzen;;;6;;;;;
I.1.17.b;Sammlung lose Blätter;"Pisa; Pisa; Porto Pisano; Arsenal; Cittadella";T;;;;;11 Notizen und Skizzen (Vasari Gemälde), 1 Zeitungsausschnitt (1903);;;12;;;;;
I.1.17.c;Sammlung lose Blätter;"Pisa; Pisa 88";T;;;;;49 Notizen und Skizzen (Paläste versch. Aufschriften);;;49;;;;;
I.1.17.d;Sammlung lose Blätter;"Pisa; Pisa Dom";T;;;;;6 Notizen;;;6;;;;;
I.1.17.e;Sammlung lose Blätter;"Pisa; Pisa vor 1905";T;;;;;1 Notiz;;;1;;;;;
I.1.17.f;Sammlung lose Blätter;"Pisa; Certosa bei Pisa";T;;;;;"5 Notizen und Skizzen, 1 Formular (Buchungsbestätigung ""Dichiarzoione"")";;;7;;;;;
I.1.17.g;Sammlung lose Blätter;"Pisa; Pisa Zusammenstellung";T;;;;;10 Notizen und Skizzen, 1 Prospekt (Supino Pisa);;Exzerpt Stegmann (?);11;;;;;
I.1.18;Fotografien;Maniere de Disenier;T;;;;XXX;10 Foto und Negative (15,5x11 Architekturdetails);;[Anzahl der Fotografien überprüfen];20;;;;;
I.1.19;Fotografien;Eglises 5;T;;;;XXX;5 Fotos und Negative (15,5x11 Grundrisse von Kirchen, etc.);;;10;;;;;
I.1.20;Fotografien;Plan Palais 13;T;;;;XXX;13 Fotos und Negative (15,5x11);;;26;;;;;
I.1.21;Fotografien;Dom de Milan;T;;;;XXX;1 Foto und Negativ;;;2;;;;;
I.1.22.a;Sammlung lose Blätter;"Guliano da Majano; Florenz Pal Pazzi-Quarantesi; 1898-1905";T;;;1898, 1905;;6 Notizen und Skizzen;;;6;;;;;
I.1.22.b;Sammlung lose Blätter;"Guliano da Majano; Faenza 1905 Dom";T;;;1905;;2 Notizen und Skizzen;;;2;;;;;
I.1.22.c;Sammlung lose Blätter;"Guliano da Majano; Pal Strozzino";T;;;;;"12 Notizen und Skizzen; 1 Zeitungsausschnitt (Arte e Storia)";;;13;;;;;
I.1.22.d;Sammlung lose Blätter;"Giuliano da Majano; Poggio Reale";T;;;;;2 Notizen und Skizzen;;;2;;;;;
I.1.22.e;Sammlung lose Blätter;"Giuliano da Majano; Recanati 1898";T;;;1898;XXX;9 Notizen und Skizzen, 3 Fotos (9x9);;1898 oder 1889 (?);12;;;;;
I.1.22.f;Sammlung lose Blätter;"Giuliano da Majano; S Gimignano 1898";T;;;1888;XXX;1 Notiz, 1 Zeitungsausschnit (Arte e Storia), 11 Notizen uns Skizzen (Villen), 3 Notizen und Skizzen (S Agostino ), 15 Notizen uns Skizzen (Dom), 7 Notizen und Skizzen (Capella S Fina);;;38;;;;;
I.1.22.g;Sammlung lose Blätter;"Giuliano da Majano; Loreto";T;;;;;7 Notizen und Skizzen, 2 Fotos (9x9);;;9;;;;;
I.1.22.h;Sammlung lose Blätter;"Giuliano da Majano; Pal Spanocchi";T;;;1899;;15 Notizen und Skizzen, 6 Exzerpt (1895), 1 Brief (G. Lombardi 18.09.1899);;;22;;;;;
I.1.22.i;Sammlung lose Blätter;"Giuliano da Majano; G. da Majano Studie Notizen aus C.v.Fabriczy";T;;;;;14 Notizen;;;?;;;;;
I.1.22.j;Sammlung lose Blätter;"Giuliano da Majano; Majano (Giuliano) 1432-1490 I";T;;;;;3 Notizen und Skizzen, 3 Fotos (12x9);;;6;;;;;
I.1.23.a;Sammlung lose Blätter;"o. Aufschrift (Div. Orte); Bibliotheque del Institut Desin";S;;;1903, 1904;;1 Notiz (Percier);;;1;;;;;
I.1.23.b;Sammlung lose Blätter;"Div. Orte (?); Schweiz";S;;;;XXX;5 Notizen, 1 Prospekt;;;6;;;;;
I.1.23.c;Sammlung lose Blätter;"Div. Orte (?); Torino";S;;;;;1 Notiz, 1 Postkarte (1888), 6 Karten (Perzetti di Murazzano 1902), 1 Zeitungsausschnitt (Tribuna 1904), 1 Brief (Barone di S. Pierre - Archivio di stato Torino 1902), 2 Visitenkarten (Piero Giacosa, Zahlschein);;;10;;;;;
I.1.23.d;Sammlung lose Blätter;"Div. Orte (?); Reichenau";S (?);;;;XXX;3 Skizzen;;;3;;;;;
I.1.23.e;Fotografien;"Div. Orte (?); Rostock";S;;;;XXX;"4 Fotos (14x10; 1902 Fotograf: Hermann Koch)";;;4;;;;;
I.1.23.f;Sammlung lose Blätter;"Div. Orte (?); Russland u. Russ.";S;;;;;2 Notizen;;;2;;;;;
I.1.23.g;Sammlung lose Blätter;"Div. Orte (?); Stuttgart";S;;;;;1 Zeitungsausschnitt (Der Beobachter 1903 Ludwig Hoffmann);;;1;;;;;
I.1.23.h;Sammlung lose Blätter;"Siv. Orte (?); Spoleto";S;;;;;"2 Zeitungsausschnitte (Beilagen zur Allgemeinen Zeitung 1903; Studienblätter aus Italien)";;;2;;;;;
I.1.23.i;Sammlung lose Blätter;"Div. Orte (?); Spanien";S;;;;;2 Notizen (Rezesionen über Spnaische Kunst), 1 Zeitungsausschnitt (Cronique des arts, Rez);;;3;;;;;
I.1.23.j;Sammlung lose Blätter;"Div. Orte (?); Speyer";S;;;;;1 Zeitungsausschnitt (Kaisergräber im Dom);;;1;;;;;
I.1.23.k;leer;"Div. Orte (?); Siam, siehe Cambodje";S;;;;;;;;0;;;;;
I.1.23.l;Sammlung lose Blätter;"Div. Orte (?); Salem";S;;;;;2 Notizen;;;2;;;;;
I.1.23.m;Sammlung lose Blätter;"Div. Orte (?); Salzburg";S;;;;;1 Zeitungsauschnitt (Illutr. Zeitung);;;1;;;;;
I.1.23.n;Sammlung lose Blätter;"Div. Orte (?); Sandweiler bei Os";S;;;1908, 1909;;"3 Skizzen, 3 Fotos, 2 Briefe (Otto Linde 1908; 1909)";;;8;;;;;
I.2.1.a;Sammlung lose Blätter;Album du Mont de Renaissance;Rf;(Artikel auf Englisch erschienen in:) The R. I. B. A. Journal 1903;;1900;;8 Notizen (Album du mot de Renaissance sa definition), 9 Notizen, 1 Brief (Enlart 13.07.1900);;;18;;;;;
I.2.1.b;Sammlung lose Blätter;"Album du Mont de Renaissance; Les grand faits historique ";Rf;;;;;2 Notizen;;;2;;;;;
I.2.1.c;Sammlung lose Blätter;"Album du Mont de Renaissance; 1. Notes pour le Procès Verbaux (?) 29.09.1900 ";Rf;;;1900;;9 Notizen, 1 Vordruck (Association Francaise);;Redaktionelle Zusammenfassungen von Tagung;10;;;;;
I.2.1.d;Sammlung lose Blätter;"Album du Mont de Renaissance; I Definition de ma proposition";Rf;;;;;35 Notizen;;;35;;;;;
I.2.1.e;Sammlung lose Blätter;"Album du Mont de Renaissance; Nouveau nom pour le tentative (?) Italienne avant 1200";Rf;;;;;7 Notizen;;;7;;;;;
I.2.1.f;leer;"Album du Mont de Renaissance; Les Periodes faussement appelee's Renaissances";Rf;;;;;;;;0;;;;;
I.2.1.g;Sammlung lose Blätter;"Album du Mont de Renaissance; Impossibilite des Renaissance prematures";Rf;;;;;4 Notizen ;;;4;;;;;
I.2.1.h;Sammlung lose Blätter;"Album du Mont de Renaissance; Nothwendige Vorbedingungen zu einer Renaissance";Rf;;;;;8 Notizen;;;8;;;;;
I.2.1.i;Sammlung lose Blätter;"Album du Mont de Renaissance; Einzelheiten der Grand Renaissance";Rf;;;;;"1) (Facteurs Chretiens) 8 Notizen; 2) (Facteurs Meridioneau) 7 Notizen - div.Überschriften; 3 (Facteurs Septentrioneau) 13 Notizen - div.Überschriften";;;28;;;;;
I.2.2.a;Sammlung lose Blätter;"Italienische Elemente, geordnet; Die 2 Strömungen in Italien";Rf;;;1897;;"1) (Allgemeines) 5 Notizen; 2) (Illusion der strengen und der freien Richtung) 7 Notizen (17.4.1897); 4) (Freie Richtung u. Michaelangelo) 12 Notizen";;;47;;;;;
I.2.2.b;Sammlung lose Blätter;"Italienische Elemente, geordnet;Allgemeines über den italienischen Einfluss auf die Rf";Rf ;;;;;4 Notizen;;Vorarbeiten zu Manuskript I.1.2.;4;;;;;
I.2.2.c;Sammlung lose Blätter;"Italienische Elemente, geordnet; Geistige u. politische Sit. In Italien";Rf ;;;;;8 Notizen;;;8;;;;;
I.2.2.d;Sammlung lose Blätter;"Italienische Elemente, geordnet; Abnehmen des Lebendigen in Italien";Rf ;;;1896;;17 Notizen (26.07.1896);;;17;;;;;
I.2.2.e;Sammlung lose Blätter;"Italienische Elemente, geordnet; Franzosen in Italien";Rf ;;;;;10 Notizen;;;10;;;;;
I.2.2.f;Sammlung lose Blätter;"Italienische Elemente, geordnet;Italiener außerhal Italiens ";Rf ;;;;;5 Notizen;;;5;;;;;
I.2.2.g;Sammlung lose Blätter;"Italienische Elemente, geordnet; Bramantes Bureau, Studio";Rf (?);;;;;11 Notizen;;;11;;;;;
I.2.2.h;Sammlung lose Blätter;"Italienische Elemente, geordnet; Palladio. Vignola. Scarmozzi";Rf (?);;;1896;;7 Notizen (07.1896);;;7;;;;;
I.2.2.i;Sammlung lose Blätter;"Italienische Elemente, geordnet; Details des Röm. Barocco";Rf (?);;;;;9 Notizen, Briefentwürfe (u.a. an den franz. Botschafter in Baden-Baden);;;9;;;;;
I.2.2.j;Sammlung lose Blätter;"Italienische Elemente, geordnet; Alessis Barocco. Schule";S (?);;;;;9 Notizen;;;9;;;;;
I.2.2.k;Sammlung lose Blätter;"Italienische Elemente, geordnet; Schule von Bologna";S (?);;;;;1 Notiz;;;1;;;;;
I.2.3.;Sammlung lose Blätter;Hohkönigsburg. Ms f. die Gazette (Studien);Hk, Restaurierung;Gazette Lausanne 1901;;1901;;"139 Notizen (Manuskript?), 6 Skizzen (nach Leonardo ?, Filarete, Vatikan), 3 Zeitungsausschnitte (Beilage zur allgemeinen Zeitung 1901; Chronique 1901)";150-6232, 150-6233;Bezieht sich auf Otto Piper zu Restaurierung Hohkönigsburg, Skizzen nach Leonardo;142;;;;;
I.2.4.a;Sammlung lose Blätter;Schlussbetrachtung. Zur Schlussbetrachtung;Rf;;;;;3 Notizen ;;;3;;;;;
I.2.4.b;Sammlung lose Blätter;"Schlussbetrachtung; Verschiedenes ";Rf (?);;;;;4 Notizen und Skizzen (3 Zeitschriftenartikel) ;;;4;;;;;
I.2.4.c;Sammlung lose Blätter;"Schlssbetrachtung; Zu Verteilen ";Rf;;;1896, 1896;;"8 Zeitungsausschnitte (1896; 1896)";;;8;;;;;
I.2.4.d;Sammlung lose Blätter;"Schlussbetrachtung; Charakter der Franzosen";Rf;;;;;75 Notizen, Exzerpte (vermutlich von Tochter);;;77;;;;;
I.2.4.e;Sammlung lose Blätter;"Schlussbetrachtung; Charakter der franz. Kunst";Rf;;;1894;;36 Notizen (19.04.1894): in (div. Umschlägen);;;36;;;;;
I.2.4.f;Sammlung lose Blätter;"Schlussbetrachtung; Geist.-ästhet. Inhalt der franz. Renaissance";Rf;;;;;5 Notizen;;;5;;;;;
I.2.4.g;Sammlung lose Blätter;"Schlussbetrachtung; Zur Schlussbetrachtung";Rf;;;;;11 Notizen;;;11;;;;;
I.2.4.h;Sammlung lose Blätter;"Schlussbetrachtung; Folgen des Todes H. IV:";Rf;;;;;10 Notizen;;;10;;;;;
I.2.4.i;Sammlung lose Blätter;"Schlussbetrachtung; Schlusbetrachtung, Rolle des Königthums";Rf;;;;;13 Notizen (über J. Goujon 1 Bl.);;;14;;;;;
I.2.4.j;Sammlung lose Blätter;"Schlussbetrachtung; Die Stile";Rf;;;1896;;18 Notizen (12.03.1896);;;18;;;;;
I.2.4.k;Sammlung lose Blätter;"Schlussbetrachtung; Pas de Brune. Historie de France";Rf;;;;;11 Notizen und Skizzen;;;11;;;;;
I.2.4.l;Sammlung lose Blätter;"Schlussbetrachtung; ...der französischen Gotik in Italien";Rf;;;;;2 Notizen;;;2;;;;;
I.2.4.m;Sammlung lose Blätter;"Schlussbetrachtung; Einfluss der zwei Epochen lat. Kultur auf Frankreich";Rf;;;;;3 Notizen;;;3;;;;;
I.2.4.n;Sammlung lose Blätter;"Schlussbetrachtung; Einfluss der nat. Heiligkeit (?)";Rf;;;;;2 Notizen;;;2;;;;;
I.2.4.o;Sammlung lose Blätter;"Schlussbetrachtung; Einfluss der Renaissance auf Frankreich";Rf;;;;;1 Notizen;;;1;;;;;
I.2.4.p;Sammlung lose Blätter;"Schlussbetrachtung; Eindringen der Renaissance";Rf;;;;;15 Notizen;;;15;;;;;
I.2.4.q;Sammlung lose Blätter;"Schlussbetrachtung; Charakter der Renaissance";Rf;;;;;8 Notizen;;;8;;;;;
I.2.4.r;Sammlung lose Blätter;"Schlussbetrachtung; Abgrund zwischen Renaissance";Rf;;;;;3 Notizen;;;3;;;;;
I.2.4.s;Sammlung lose Blätter;"Schlussbetrachtung; Das Alterthum";Rf;;;;;5 Notizen;;;5;;;;;
I.2.4.t;Sammlung lose Blätter;"Schlussbetrachtung; Verhältnis zum Romanischen";Rf;;;;;4 Notizen und Skizzen;;;4;;;;;
I.2.4.u;Sammlung lose Blätter;"Schlussbetrachtung; Persistenz des Gothischen";Rf;;;;;18 Notizen;;;18;;;;;
I.2.4.v;Sammlung lose Blätter;"Schlussbetrachtung; Deutschland und Niederlande";Rf;;;;;15 Notizen;;;15;;;;;
I.2.4.w;Sammlung lose Blätter;"Schlussbetrachtung; Vergleich zwischen ital. u. franz. Charakter";Rf;;;;;37 Notizen;;;37;;;;;
I.2.4.x;Sammlung lose Blätter;"Schlussbetrachtung; Einfluss der franz. Architektur außerhalb Frankreichs ";Rf;;;;;1 Notiz;;;1;;;;;
I.2.4.y;Sammlung lose Blätter;"Schlussbetrachtung; Mission der franz. Ren.";Rf;;;;;Notizen;;;7;;;;;
I.2.4.z;Sammlung lose Blätter;"Schlussbetrachtung; Schlusswort der Schlussbetrachtung";Rf;;;1899;;"18 Notizen, 3 Zeitungsausschnitte (Allgemeine Zeitung 1899; Chronique)";;;21;;;;;
I.2.5.a;Sammlung lose Blätter;"Italienisch-Französisch Colaboration; Französische u. italienisches Begriffe über Architektur ";Rf;;;;;20 Notizen;;;20;;;;;
I.2.5.b;Sammlung lose Blätter;"Italienisch-Französisch Colaboration; Die Stellung der ital. Architekten zu ihren franz. Kollegen";Rf;;;;;8 Notizen;;;8;;;;;
I.2.6.a;Sammlung lose Blätter;"Louvre et Tuilleries; ""1""";Rf;;;1905;;"1) (Chronologie) 2 Notizen; 2) (Geschichte des Luovrebaus) 3 Notizen; 3) (Komposition der Gesamtanlage; 4) (Die Architektn des Louvre) 5 Notizen; 5) (Das Äußere); 6 (Haupteingang) 2 Notizen; 7 (Composition des Hofes) 25 Notizen und Skizzen); 8) (Louvre Innenstruktur) 3 Notizen; 9) (Ausbau des Hofes) 3 Notizen und Skizzen; 10 (Die Kolonnade) 1 Notiz, 1 Zeitungsausschnitt (1905); 11) (Die kleine Galerie) 18 Notizen";;Bau in Louvre;61;;;;;
I.2.6.b;Sammlung lose Blätter;"Louvre et Tuileries; 2 Die Tuillerien";Rf;;;;;"2 Notizen, 1) (Tuilerien Garten) 4 Notizen; 2) (Tuilerien) 8 Notizen; 3) (Les Tuilerien, Copie, Fred, Masson, Parie 1899), 28 Exzerpte; 4) (Tuillerien nach Bruyere (?)) 13 Notizen und Skizzen";150-6234;;55;;;;;
I.2.6.c;Sammlung lose Blätter;"Louvre et Tuileries; Verbindung des Louvre mit den Tuil.";Rf;;;1896;XXX;"2 Notizen und Skizzen, 1) (...Beschreibung der 2 Hälften) 25 Notizen und Skizzen; 2) (Große Galerien) 3 Notizen; 3) (Deren Architekten) 55 Notizen und Skizzen; 4) (Die Entwürfe bei Destailleur) 22 Notizen und Skizzen, 1 Sonderdruck (Babeau, Widmung des Authors), Broschüre, Briefumschlag 1896 an Baden-Baden";150-6235, 150-6236, 150-6237, 150-6238;Kuvert: Entwürfe bei Destailleur (Skizzen von bekannter Sammlung);108;;;;;
I.2.7.a;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Einleitung";Rf;;;;;3 Notizen (Einleitung ?);;;3;;;;;
I.2.7.b;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Französische Definitionen und Begriffe";Rf;;;;;50 Notizen, 1 Buchprospekt mit Anmerkungen;;;51;;;;;
I.2.7.c;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Wann beginnt sie";Rf;;;;;10 Notizen (Exzertpte?);;;10;;;;;
I.2.7.d;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Ursprung der franz. Reniassance";Rf;;;1893;;9 Notizen, 1 Brief (>Geymüler aus Basel von Stehelen (?) 30.05.1893);150-6239, 150-6240;;10;;;;;
I.2.7.e;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Zu den Phasen der Renaissance";Rf;;;;;13 Notizen;;;13;;;;;
I.2.7.f;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Wie lange dauert die Architektur der Ren. in Frankreich";Rf;;;;;23 Notizen;;;23;;;;;
I.2.7.g;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Definition der Renaissance";Rf;;;;;14 Notizen, 1 Exzerpt (Müntz);;;15;;;;;
I.2.7.h;Sammlung lose Blätter;"Eintheilung u. Einletung. Kapitelangabe; Definition der Renaissance und ihres Prinzips";Rf;;;;;56 Notizen, 1 Notiz;;;57;;;;;
I.2.8.a;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau;  Fontainbleau. Verschied. Bauplätze";Rf;;;;;4 Notizen;;;4;;;;;
I.2.8.b;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau; Cour Ovale";Rf;;;;;10 Notizen und Skizzen;;;10;;;;;
I.2.8.c;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau; Cour de la Fontaine";Rf;;;;;35 Notizen;;;35;;;;;
